Date,Day of Week,Platform,Content Type,Title/Topic,Historical Period/Topic,Video Length (seconds),Script Status,Visual Assets Status,Production Status,Posting Status,Engagement Notes,Performance Metrics
2024-01-08,Monday,TikTok,Historical Event,"The Battle of Thermopylae","Ancient History - Greece",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-08,Monday,Instagram Reels,Historical Event,"The Battle of Thermopylae","Ancient History - Greece",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-08,Monday,YouTube Shorts,Historical Event,"The Battle of Thermopylae","Ancient History - Greece",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-09,Tuesday,TikTok,Quick Fact,"Did You Know: The Great Wall","Ancient History - China",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-09,Tuesday,Instagram Reels,Quick Fact,"Did You Know: The Great Wall","Ancient History - China",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-09,Tuesday,YouTube Shorts,Quick Fact,"Did You Know: The Great Wall","Ancient History - China",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-10,Wednesday,TikTok,On This Day,"On This Day: January 10th","Various Historical Events",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-10,Wednesday,Instagram Reels,On This Day,"On This Day: January 10th","Various Historical Events",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-10,Wednesday,YouTube Shorts,On This Day,"On This Day: January 10th","Various Historical Events",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-11,Thursday,TikTok,Historical Mystery,"The Lost City of Atlantis","Ancient History - Mystery",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-11,Thursday,Instagram Reels,Historical Mystery,"The Lost City of Atlantis","Ancient History - Mystery",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-11,Thursday,YouTube Shorts,Historical Mystery,"The Lost City of Atlantis","Ancient History - Mystery",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-12,Friday,TikTok,Historical Figure,"Joan of Arc: The Teenage Warrior","Medieval History - France",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-12,Friday,Instagram Reels,Historical Figure,"Joan of Arc: The Teenage Warrior","Medieval History - France",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-12,Friday,YouTube Shorts,Historical Figure,"Joan of Arc: The Teenage Warrior","Medieval History - France",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-13,Saturday,TikTok,Quick Fact,"Amazing Fact: Ancient Medicine","Various - Medicine",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-13,Saturday,Instagram Reels,Quick Fact,"Amazing Fact: Ancient Medicine","Various - Medicine",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-13,Saturday,YouTube Shorts,Quick Fact,"Amazing Fact: Ancient Medicine","Various - Medicine",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-14,Sunday,TikTok,Historical Event,"The Black Death: Europe's Darkest Hour","Medieval History - Europe",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-14,Sunday,Instagram Reels,Historical Event,"The Black Death: Europe's Darkest Hour","Medieval History - Europe",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-14,Sunday,YouTube Shorts,Historical Event,"The Black Death: Europe's Darkest Hour","Medieval History - Europe",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-15,Monday,TikTok,Myth Debunked,"Myth: Napoleon Was Short","Modern History - France",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-15,Monday,Instagram Reels,Myth Debunked,"Myth: Napoleon Was Short","Modern History - France",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-15,Monday,YouTube Shorts,Myth Debunked,"Myth: Napoleon Was Short","Modern History - France",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-16,Tuesday,TikTok,Historical Figure,"Genghis Khan: The Great Conqueror","Medieval History - Mongolia",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-16,Tuesday,Instagram Reels,Historical Figure,"Genghis Khan: The Great Conqueror","Medieval History - Mongolia",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-16,Tuesday,YouTube Shorts,Historical Figure,"Genghis Khan: The Great Conqueror","Medieval History - Mongolia",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-17,Wednesday,TikTok,On This Day,"On This Day: January 17th","Various Historical Events",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-17,Wednesday,Instagram Reels,On This Day,"On This Day: January 17th","Various Historical Events",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-17,Wednesday,YouTube Shorts,On This Day,"On This Day: January 17th","Various Historical Events",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-18,Thursday,TikTok,Historical Event,"The Renaissance: Europe's Rebirth","Renaissance - Europe",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-18,Thursday,Instagram Reels,Historical Event,"The Renaissance: Europe's Rebirth","Renaissance - Europe",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-18,Thursday,YouTube Shorts,Historical Event,"The Renaissance: Europe's Rebirth","Renaissance - Europe",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-19,Friday,TikTok,Quick Fact,"Did You Know: Ancient Writing Systems","Various - Writing",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-19,Friday,Instagram Reels,Quick Fact,"Did You Know: Ancient Writing Systems","Various - Writing",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-19,Friday,YouTube Shorts,Quick Fact,"Did You Know: Ancient Writing Systems","Various - Writing",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-20,Saturday,TikTok,Historical Figure,"Julius Caesar: The Man Who Changed Rome","Ancient History - Rome",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-20,Saturday,Instagram Reels,Historical Figure,"Julius Caesar: The Man Who Changed Rome","Ancient History - Rome",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-20,Saturday,YouTube Shorts,Historical Figure,"Julius Caesar: The Man Who Changed Rome","Ancient History - Rome",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-21,Sunday,TikTok,Historical Event,"The Industrial Revolution","Modern History - Global",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-21,Sunday,Instagram Reels,Historical Event,"The Industrial Revolution","Modern History - Global",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-21,Sunday,YouTube Shorts,Historical Event,"The Industrial Revolution","Modern History - Global",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-22,Monday,TikTok,Myth Debunked,"Myth: The Dark Ages Were Dark","Medieval History - Europe",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-22,Monday,Instagram Reels,Myth Debunked,"Myth: The Dark Ages Were Dark","Medieval History - Europe",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-22,Monday,YouTube Shorts,Myth Debunked,"Myth: The Dark Ages Were Dark","Medieval History - Europe",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-23,Tuesday,TikTok,Quick Fact,"Amazing Fact: Ancient Architecture","Various - Architecture",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-23,Tuesday,Instagram Reels,Quick Fact,"Amazing Fact: Ancient Architecture","Various - Architecture",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-23,Tuesday,YouTube Shorts,Quick Fact,"Amazing Fact: Ancient Architecture","Various - Architecture",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-24,Wednesday,TikTok,On This Day,"On This Day: January 24th","Various Historical Events",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-24,Wednesday,Instagram Reels,On This Day,"On This Day: January 24th","Various Historical Events",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-24,Wednesday,YouTube Shorts,On This Day,"On This Day: January 24th","Various Historical Events",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-25,Thursday,TikTok,Historical Figure,"Marie Curie: The Radioactive Pioneer","Modern History - Science",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-25,Thursday,Instagram Reels,Historical Figure,"Marie Curie: The Radioactive Pioneer","Modern History - Science",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-25,Thursday,YouTube Shorts,Historical Figure,"Marie Curie: The Radioactive Pioneer","Modern History - Science",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-26,Friday,TikTok,Historical Event,"World War I: The Great War Begins","Modern History - WWI",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-26,Friday,Instagram Reels,Historical Event,"World War I: The Great War Begins","Modern History - WWI",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-26,Friday,YouTube Shorts,Historical Event,"World War I: The Great War Begins","Modern History - WWI",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-27,Saturday,TikTok,Quick Fact,"Did You Know: Ancient Trade Routes","Various - Trade",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-27,Saturday,Instagram Reels,Quick Fact,"Did You Know: Ancient Trade Routes","Various - Trade",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-27,Saturday,YouTube Shorts,Quick Fact,"Did You Know: Ancient Trade Routes","Various - Trade",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-28,Sunday,TikTok,Historical Mystery,"The Mystery of the Roanoke Colony","Modern History - America",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-28,Sunday,Instagram Reels,Historical Mystery,"The Mystery of the Roanoke Colony","Modern History - America",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-28,Sunday,YouTube Shorts,Historical Mystery,"The Mystery of the Roanoke Colony","Modern History - America",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-29,Monday,TikTok,Historical Figure,"Alexander the Great: Conqueror of the World","Ancient History - Greece",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-29,Monday,Instagram Reels,Historical Figure,"Alexander the Great: Conqueror of the World","Ancient History - Greece",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-29,Monday,YouTube Shorts,Historical Figure,"Alexander the Great: Conqueror of the World","Ancient History - Greece",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-30,Tuesday,TikTok,Myth Debunked,"Myth: The Wild West Was Lawless","Modern History - America",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-30,Tuesday,Instagram Reels,Myth Debunked,"Myth: The Wild West Was Lawless","Modern History - America",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-30,Tuesday,YouTube Shorts,Myth Debunked,"Myth: The Wild West Was Lawless","Modern History - America",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-31,Wednesday,TikTok,On This Day,"On This Day: January 31st","Various Historical Events",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-31,Wednesday,Instagram Reels,On This Day,"On This Day: January 31st","Various Historical Events",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-31,Wednesday,YouTube Shorts,On This Day,"On This Day: January 31st","Various Historical Events",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
